a_team,b_team
Russia,Saudi Arabia
Egypt,Uruguay
Portugal,Spain
Morocco,Iran
France,Australia
Peru,Denmark
Argentina,Iceland
Croatia,Nigeria
Brazil,Switzerland
Costa Rica,Serbia
Germany,Mexico
Sweden,Korea Republic
Belgium,Panama
Tunisia,England
Poland,Senegal
Colombia,Japan
Russia,Egypt
Uruguay,Saudi Arabia
Portugal,Morocco
Iran,Spain
France,Peru
Denmark,Australia
Argentina,Croatia
Nigeria,Iceland
Brazil,Costa Rica
Serbia,Switzerland
Germany,Sweden
Korea Republic,Mexico
Belgium,Tunisia
England,Panama
Poland,Colombia
Japan,Senegal
Uruguay,Russia
Saudi Arabia,Egypt
Iran,Portugal
Spain,Morocco
Denmark,France
Australia,Peru
Nigeria,Argentina
Iceland,Croatia
Serbia,Brazil
Switzerland,Costa Rica
Korea Republic,Germany
Mexico,Sweden
England,Belgium
Panama,Tunisia
Japan,Poland
Senegal,Colombia
